t_ms,x_g,y_g,z_g
314.631,1.0,-0.04,-0.01
315.222,0.99,-0.06,0.0
315.784,0.99,-0.05,0.0
316.346,1.0,-0.04,-0.0
316.936,1.0,-0.03,-0.0
317.527,1.0,-0.03,-0.0
318.117,0.99,-0.06,-0.02
318.708,0.99,-0.04,-0.01
319.299,0.99,-0.04,-0.01
319.889,0.99,-0.04,0.0
320.451,0.99,-0.05,-0.02
321.041,0.99,-0.05,-0.0
321.632,1.0,-0.04,0.08
322.194,0.99,-0.04,-0.02
322.785,1.0,-0.06,0.01
323.346,0.99,-0.03,-0.01
323.936,0.99,-0.07,-0.0
324.527,1.0,-0.07,0.0
325.088,1.0,-0.02,-0.02
325.679,0.99,-0.05,0.0
326.241,1.0,-0.04,-0.02
326.831,0.99,-0.05,-0.01
327.422,0.99,-0.05,-0.02
328.012,0.99,-0.04,0.0
328.574,0.99,-0.06,0.01
329.136,1.0,-0.04,-0.0
329.727,1.0,-0.05,-0.02
330.317,0.98,-0.04,-0.01
330.907,0.98,-0.05,-0.03
331.497,1.0,-0.06,-0.02
332.088,0.99,-0.01,0.01
332.634,0.98,-0.03,-0.02
333.224,0.99,-0.04,0.0
333.786,0.99,-0.01,0.01
334.348,0.99,-0.04,-0.02
334.939,0.98,-0.05,0.0
335.501,1.0,-0.04,-0.01
336.091,1.0,-0.05,0.0
336.653,1.0,-0.05,0.02
337.214,1.0,-0.07,-0.02
337.804,1.0,-0.05,-0.01
338.394,1.0,-0.07,-0.01
338.985,0.99,-0.05,-0.0
339.575,0.98,-0.04,-0.0
340.166,0.99,-0.03,0.02
340.728,1.0,-0.03,0.01
341.290,0.99,-0.04,-0.01
341.880,1.0,-0.05,-0.01
342.471,1.0,-0.07,-0.03
343.061,0.99,-0.05,0.0
343.623,0.99,-0.04,-0.01
344.214,1.01,-0.05,-0.02
344.804,1.0,-0.05,0.05
345.366,0.99,-0.04,0.0
345.928,0.99,-0.04,-0.01
346.519,0.99,-0.04,-0.0
347.109,1.0,-0.07,0.03
347.671,0.99,-0.03,-0.11
348.262,1.0,-0.07,0.0
348.824,1.0,-0.07,-0.01
349.414,1.0,-0.04,-0.02
350.005,0.99,-0.04,-0.0
350.595,0.99,-0.07,0.0
351.156,0.99,-0.04,0.0
351.718,0.99,-0.04,0.0
352.280,0.99,-0.04,-0.01
352.870,1.0,-0.07,0.0
353.432,0.98,-0.05,0.0
353.994,1.0,-0.07,-0.02
354.584,1.0,-0.04,-0.02
355.175,0.99,-0.04,0.0
355.737,0.99,-0.03,-0.04
356.327,0.99,-0.04,-0.04
356.918,0.99,-0.05,-0.0
357.457,0.99,-0.05,-0.02
358.048,0.99,-0.05,-0.02
358.638,0.99,-0.05,-0.01
359.229,1.0,-0.03,0.01
359.791,1.01,-0.07,0.0
360.353,0.99,-0.05,-0.03
360.943,0.99,-0.05,-0.0
361.534,0.99,-0.04,-0.01
362.124,1.0,-0.03,0.05
362.686,0.99,-0.07,0.01
363.248,1.0,-0.07,0.0
363.809,0.99,-0.04,-0.03
364.400,0.99,-0.03,-0.01
364.990,0.99,-0.03,-0.0
365.581,0.99,-0.06,0.0
366.143,0.99,-0.05,-0.01
366.733,1.0,-0.05,0.01
367.295,0.99,-0.04,-0.02
367.886,0.98,-0.05,-0.0
368.476,0.99,-0.05,-0.03
369.066,0.99,-0.07,-0.0
369.656,1.0,-0.05,0.05
370.218,0.99,-0.05,0.07
370.780,0.98,-0.03,-0.01
371.371,0.98,-0.05,-0.01
371.961,1.0,-0.05,-0.03
372.552,1.0,-0.04,0.01
373.114,1.0,-0.05,-0.03
373.704,1.0,-0.03,-0.01
374.295,1.0,-0.05,0.0
374.857,1.0,-0.03,0.02
375.419,0.99,-0.04,-0.02
376.010,1.0,-0.05,-0.02
376.600,0.99,-0.05,0.01
377.162,1.03,-0.05,0.01
377.724,0.98,-0.04,-0.02
378.314,0.99,-0.03,-0.01
378.905,0.99,-0.06,-0.0
379.495,0.99,-0.05,-0.01
380.086,0.99,-0.07,-0.03
